20.01.25
Start: Time: 08:07 OCV: 4.201V Load-V: 3.832V
End: Time: 20:05 OCV: 3.598V Load-V: 3.190V

0: raw: 829, voltage: 3.965, soc: 95, lbo: 1

0: raw: 817, voltage: 3.908, soc: 90, lbo: 1

1: raw: 852, voltage: 4.075, soc: 105, lbo: 0

1: raw: 821, voltage: 3.927, soc: 92, lbo: 0

2: raw: 843, voltage: 4.032, soc: 101, lbo: 0

2: raw: 820, voltage: 3.922, soc: 91, lbo: 0

3: raw: 842, voltage: 4.028, soc: 100, lbo: 0

3: raw: 819, voltage: 3.918, soc: 91, lbo: 0

4: raw: 840, voltage: 4.018, soc: 100, lbo: 0

4: raw: 819, voltage: 3.918, soc: 91, lbo: 0

5: raw: 840, voltage: 4.018, soc: 100, lbo: 0

5: raw: 818, voltage: 3.913, soc: 90, lbo: 0

6: raw: 838, voltage: 4.008, soc: 99, lbo: 0

6: raw: 818, voltage: 3.913, soc: 90, lbo: 0

7: raw: 838, voltage: 4.008, soc: 99, lbo: 0

7: raw: 818, voltage: 3.913, soc: 90, lbo: 0

8: raw: 842, voltage: 4.028, soc: 100, lbo: 0

8: raw: 818, voltage: 3.913, soc: 90, lbo: 0

9: raw: 840, voltage: 4.018, soc: 100, lbo: 0

9: raw: 818, voltage: 3.913, soc: 90, lbo: 0

10: raw: 838, voltage: 4.008, soc: 99, lbo: 0

10: raw: 818, voltage: 3.913, soc: 90, lbo: 0

11: raw: 843, voltage: 4.032, soc: 101, lbo: 0

11: raw: 819, voltage: 3.918, soc: 91, lbo: 0

12: raw: 843, voltage: 4.032, soc: 101, lbo: 0

12: raw: 819, voltage: 3.918, soc: 91, lbo: 0

13: raw: 841, voltage: 4.023, soc: 100, lbo: 0

13: raw: 818, voltage: 3.913, soc: 90, lbo: 0

14: raw: 845, voltage: 4.042, soc: 102, lbo: 0

14: raw: 830, voltage: 3.970, soc: 95, lbo: 0

15: raw: 829, voltage: 3.965, soc: 95, lbo: 0

15: raw: 811, voltage: 3.879, soc: 87, lbo: 0

16: raw: 830, voltage: 3.970, soc: 95, lbo: 0

